;price;floor_area;age;floor;roof;room_num;hall_num;neighborhood
82;7400000;150;3;8;0;3;1;Erenköy Mahallesi
83;3495000;160;27;4;0;3;1;Erenköy Mahallesi
84;5195000;135;3;1;0;3;1;Göztepe Mahallesi
85;2150000;85;35;0;0;2;1;Feneryolu Mahallesi
86;3985000;145;28;1;0;3;1;Suadiye Mahallesi
87;9750000;185;0;11;0;4;1;Caddebostan Mahallesi
88;3800000;130;0;1;0;3;1;Feneryolu Mahallesi
89;7250000;165;2;6;0;3;1;Caddebostan Mahallesi
90;4795000;140;5;2;0;2;1;Fenerbahçe Mahallesi
91;24000000;330;0;11;0;5;2;Bostancı Mahallesi
92;9500000;165;0;14;0;3;1;Suadiye Mahallesi
93;2600000;145;30;1;0;3;1;SahrayıCedit Mahallesi
94;11000000;265;4;11;0;3;2;Caddebostan Mahallesi
95;5600000;240;22;8;0;4;1;Erenköy Mahallesi
96;2000000;120;0;6;0;3;1;Fikirtepe Mahallesi
97;5500000;150;9;1;0;3;1;Göztepe Mahallesi
98;5750000;240;7;7;0;5;2;Suadiye Mahallesi
99;14800000;500;20;12;0;8;2;Caddebostan Mahallesi
100;6950000;160;7;14;0;3;2;Göztepe Mahallesi
101;3985000;140;30;1;0;3;1;Suadiye Mahallesi
102;7595000;140;0;9;0;3;1;Caddebostan Mahallesi
103;3300000;140;0;11;0;3;1;Merdivenköy Mahallesi
104;2350000;135;30;1;0;3;1;Suadiye Mahallesi
105;5250000;135;0;9;0;3;1;Fenerbahçe Mahallesi
106;5000000;130;4;8;0;3;1;Suadiye Mahallesi
107;13500000;175;0;8;0;3;1;Suadiye Mahallesi
108;7550000;145;0;8;0;3;1;Fenerbahçe Mahallesi
109;12000000;265;21;11;0;4;1;Caddebostan Mahallesi
110;3550000;165;25;10;0;3;1;Bostancı Mahallesi
111;3650000;135;4;13;0;3;1;Bostancı Mahallesi
112;9750000;185;0;11;0;4;1;Caddebostan Mahallesi
113;17750000;390;0;11;0;5;2;Caddebostan Mahallesi
114;3800000;130;0;6;0;3;1;Göztepe Mahallesi
115;5750000;130;2;3;0;3;1;Caddebostan Mahallesi
116;2800000;120;0;5;1;3;1;Merdivenköy Mahallesi
117;2350000;160;28;2;0;3;1;Bostancı Mahallesi
118;8250000;220;30;4;0;5;1;Caddebostan Mahallesi
119;2290000;150;20;2;0;3;1;Bostancı Mahallesi
120;4075000;135;3;5;0;3;1;Göztepe Mahallesi
121;4650000;120;4;8;0;3;1;Göztepe Mahallesi
122;5950000;240;19;7;0;4;1;Feneryolu Mahallesi
123;5195000;140;4;4;0;3;1;Erenköy Mahallesi
124;6500000;140;4;6;0;3;1;Fenerbahçe Mahallesi
125;5750000;155;10;6;0;3;1;Erenköy Mahallesi
126;2550000;170;25;7;0;3;1;Kozyatağı Mahallesi
127;2290000;140;25;2;0;3;1;Bostancı Mahallesi
128;4275000;145;30;5;0;3;1;Suadiye Mahallesi
129;2350000;700;1;12;0;2;1;Merdivenköy Mahallesi
130;16280000;283;1;10;0;4;2;Fenerbahçe Mahallesi
131;3825000;130;0;1;0;3;1;Suadiye Mahallesi
132;4000000;125;0;7;0;3;1;Göztepe Mahallesi
133;2150000;145;30;6;0;3;1;Kozyatağı Mahallesi
134;3495000;145;33;4;0;3;1;Erenköy Mahallesi
135;4895000;150;4;5;0;3;1;Göztepe Mahallesi
136;9500000;180;6;7;0;3;1;Caddebostan Mahallesi
137;3800000;160;25;4;0;3;1;Erenköy Mahallesi
138;5050000;160;4;10;0;3;1;Erenköy Mahallesi
139;5450000;135;4;1;0;3;1;Erenköy Mahallesi
140;3200000;195;25;5;0;3;2;Suadiye Mahallesi
141;4000000;140;3;5;1;2;1;Göztepe Mahallesi
142;5950000;180;28;4;0;3;1;Fenerbahçe Mahallesi
143;2245000;125;35;2;0;3;1;19 Mayıs Mahallesi
144;6200000;235;3;9;0;3;2;Erenköy Mahallesi
145;12350000;240;5;12;0;4;1;Caddebostan Mahallesi
146;7450000;155;4;7;0;3;1;Fenerbahçe Mahallesi
147;2990000;115;5;0;0;3;1;Erenköy Mahallesi
148;7300000;135;0;2;0;3;1;Caddebostan Mahallesi
149;3950000;125;5;0;0;3;1;Fenerbahçe Mahallesi
150;3975000;125;5;1;0;3;1;Erenköy Mahallesi
151;3950000;140;0;2;0;3;1;19 Mayıs Mahallesi
152;4695000;140;0;3;0;3;1;Erenköy Mahallesi
153;6400000;150;5;8;0;3;1;Caddebostan Mahallesi
154;5500000;145;3;3;0;3;1;Fenerbahçe Mahallesi
155;3595000;165;30;2;0;3;1;Feneryolu Mahallesi
156;4850000;250;22;4;0;4;1;Bostancı Mahallesi
157;6950000;250;4;13;0;5;1;Göztepe Mahallesi
158;10000000;280;1;14;0;4;2;Göztepe Mahallesi
159;4800000;190;18;6;0;4;1;Erenköy Mahallesi
160;4250000;135;3;9;0;3;1;Erenköy Mahallesi
161;4250000;130;3;11;0;3;1;Erenköy Mahallesi
162;3140000;140;3;1;0;3;1;Merdivenköy Mahallesi
163;3650000;135;26;5;0;3;1;Göztepe Mahallesi
164;3500000;115;0;5;0;2;1;Suadiye Mahallesi
165;4250000;135;3;7;0;3;1;Suadiye Mahallesi
166;1635000;105;26;0;0;2;1;Suadiye Mahallesi
167;9000000;150;0;8;0;3;1;Fenerbahçe Mahallesi
168;2290000;145;30;2;0;3;1;Bostancı Mahallesi
169;4495000;185;23;4;0;4;1;Erenköy Mahallesi
170;3995000;145;20;4;0;3;1;Göztepe Mahallesi
171;2600000;170;30;1;0;3;1;Kozyatağı Mahallesi
172;6800000;200;1;8;0;4;1;Fenerbahçe Mahallesi
173;4750000;210;0;9;0;4;1;Merdivenköy Mahallesi
174;3695000;125;3;1;0;3;1;Erenköy Mahallesi
175;4850000;135;4;3;0;3;1;Suadiye Mahallesi
176;5750000;130;0;3;0;3;1;Caddebostan Mahallesi
177;10500000;300;0;7;0;5;1;Suadiye Mahallesi
178;2750000;170;28;1;0;4;1;Kozyatağı Mahallesi
179;4150000;135;3;10;0;3;1;Göztepe Mahallesi
180;1635000;105;35;0;0;2;1;Bostancı Mahallesi
181;5950000;280;5;10;0;4;1;19 Mayıs Mahallesi
182;2650000;85;3;6;0;2;1;Feneryolu Mahallesi
183;5500000;145;7;1;0;3;1;Göztepe Mahallesi
184;4650000;145;0;10;0;3;1;Erenköy Mahallesi
185;3975000;130;4;1;0;3;1;Erenköy Mahallesi
186;4000000;125;3;5;0;3;1;Erenköy Mahallesi
187;15500000;205;0;1;0;4;1;Suadiye Mahallesi
188;4795000;140;5;2;0;2;1;Fenerbahçe Mahallesi
189;4295000;165;21;4;0;3;1;Göztepe Mahallesi
190;4495000;190;23;4;0;4;1;Erenköy Mahallesi
191;5850000;200;4;10;0;4;1;Erenköy Mahallesi
192;4150000;185;26;2;0;4;1;Erenköy Mahallesi
193;3100000;150;26;1;0;3;1;Merdivenköy Mahallesi
194;5750000;165;0;4;0;4;1;19 Mayıs Mahallesi
195;2450000;140;27;6;0;3;1;Merdivenköy Mahallesi
196;2885000;110;31;0;0;2;1;Erenköy Mahallesi
197;4790000;140;0;7;0;3;1;Erenköy Mahallesi
198;4350000;130;30;9;0;3;1;Göztepe Mahallesi
199;4900000;240;5;11;0;4;2;Suadiye Mahallesi
200;4850000;125;3;8;0;3;1;Erenköy Mahallesi
201;4175000;135;3;9;0;3;1;Suadiye Mahallesi
202;7595000;145;0;9;0;3;1;Caddebostan Mahallesi
203;4700000;150;30;1;0;3;1;Fenerbahçe Mahallesi
204;18000000;225;0;12;0;4;1;Suadiye Mahallesi
205;12250000;200;0;14;0;5;1;Fenerbahçe Mahallesi
206;4850000;135;4;3;0;3;1;Suadiye Mahallesi
207;18000000;225;0;11;0;4;1;Suadiye Mahallesi
208;7000000;290;12;10;0;5;2;Göztepe Mahallesi
209;5850000;330;2;11;0;4;2;Bostancı Mahallesi
210;3495000;119;6;5;0;2;1;Suadiye Mahallesi
211;3950000;240;27;1;0;4;1;Bostancı Mahallesi
212;5450000;150;4;3;0;3;1;Caddebostan Mahallesi
213;4790000;140;0;7;0;3;1;19 Mayıs Mahallesi
214;4650000;145;0;9;0;3;1;Erenköy Mahallesi
215;4000000;165;4;11;0;2;1;Göztepe Mahallesi
216;1950000;110;35;0;0;2;1;Suadiye Mahallesi
217;5500000;150;5;1;0;3;1;Göztepe Mahallesi
218;5450000;175;3;13;0;3;1;Erenköy Mahallesi
219;3695000;130;3;7;0;3;1;Bostancı Mahallesi
220;4150000;120;0;8;0;3;1;Suadiye Mahallesi
221;5500000;160;4;4;0;3;1;Erenköy Mahallesi
222;4750000;200;2;14;0;3;1;19 Mayıs Mahallesi
223;3395000;165;16;10;0;3;1;Bostancı Mahallesi
224;8250000;155;1;8;0;3;1;Fenerbahçe Mahallesi
225;4995000;240;26;3;0;3;1;Feneryolu Mahallesi
226;6750000;220;4;10;0;3;2;Suadiye Mahallesi
227;2750000;145;30;3;0;3;1;Bostancı Mahallesi
228;8000000;185;5;10;0;4;1;Bostancı Mahallesi
229;5250000;125;0;9;0;3;1;Fenerbahçe Mahallesi
230;9750000;150;2;7;0;3;1;Caddebostan Mahallesi
231;2195000;145;35;3;0;3;1;19 Mayıs Mahallesi
232;4950000;190;26;2;0;4;1;Göztepe Mahallesi
233;18800000;310;0;9;0;5;1;Suadiye Mahallesi
234;7250000;250;1;8;0;4;2;Caddebostan Mahallesi
235;8900000;220;21;4;0;4;1;Caddebostan Mahallesi
236;3250000;145;34;9;0;3;1;Feneryolu Mahallesi
237;2950000;165;25;2;0;3;1;Erenköy Mahallesi
238;1675000;115;35;3;0;3;1;Suadiye Mahallesi
239;12250000;200;0;11;0;4;1;Fenerbahçe Mahallesi
240;7250000;135;0;0;0;3;1;Suadiye Mahallesi
241;4250000;145;7;13;0;3;1;Erenköy Mahallesi
242;3395000;110;6;5;0;2;1;Suadiye Mahallesi
243;6950000;280;4;7;0;4;1;Caddebostan Mahallesi
244;8325000;230;4;11;0;3;2;Erenköy Mahallesi
245;3450000;140;4;13;0;3;1;Bostancı Mahallesi
246;5195000;150;5;4;0;3;1;Göztepe Mahallesi
247;6300000;165;15;10;0;3;1;Göztepe Mahallesi
248;7500000;260;3;11;0;5;2;Göztepe Mahallesi
249;6750000;150;4;8;0;3;1;Caddebostan Mahallesi
250;5750000;185;21;2;0;4;1;Fenerbahçe Mahallesi
251;7950000;155;0;12;0;3;1;Bostancı Mahallesi
252;10500000;260;0;8;0;5;2;Caddebostan Mahallesi
253;6950000;165;3;11;0;4;1;Caddebostan Mahallesi
254;11900000;295;3;10;0;4;2;Suadiye Mahallesi
255;2250000;100;34;0;0;2;1;Göztepe Mahallesi
256;13590000;310;21;2;0;4;1;Suadiye Mahallesi
257;4800000;195;18;6;0;4;1;Erenköy Mahallesi
258;7800000;200;27;1;0;4;1;Bostancı Mahallesi
259;8750000;230;11;0;0;4;2;Fenerbahçe Mahallesi
260;5250000;145;4;7;0;3;1;Erenköy Mahallesi
261;3550000;135;6;6;0;3;1;Erenköy Mahallesi
262;6950000;280;21;7;0;4;1;Caddebostan Mahallesi
263;6700000;185;5;12;0;4;1;Fenerbahçe Mahallesi
264;6450000;130;0;10;0;3;1;Caddebostan Mahallesi
265;12595000;420;11;11;0;8;2;Caddebostan Mahallesi
266;6250000;160;3;1;0;3;1;Fenerbahçe Mahallesi
267;4495000;185;23;4;0;3;1;Erenköy Mahallesi
268;23500000;350;0;11;0;6;1;Suadiye Mahallesi
269;3140000;135;2;1;0;3;1;Merdivenköy Mahallesi
270;10500000;300;1;0;0;5;1;Suadiye Mahallesi
271;2750000;110;35;0;0;2;1;Suadiye Mahallesi
272;6500000;165;26;3;0;3;1;Bostancı Mahallesi
273;3975000;125;5;1;0;3;1;Erenköy Mahallesi
274;5500000;160;3;4;0;3;1;Fenerbahçe Mahallesi
275;18700000;220;0;5;1;4;1;Fenerbahçe Mahallesi
276;9000000;175;0;10;0;4;1;Göztepe Mahallesi
277;7000000;155;7;4;0;3;1;Fenerbahçe Mahallesi
278;18385000;283;0;5;1;4;2;Fenerbahçe Mahallesi
279;4995000;235;27;3;0;3;1;Feneryolu Mahallesi
280;4600000;160;0;10;0;3;1;Bostancı Mahallesi
281;9250000;250;4;9;0;3;1;Erenköy Mahallesi
282;3500000;160;34;3;0;3;1;Erenköy Mahallesi
283;6600000;125;0;0;0;3;1;Suadiye Mahallesi
284;3495000;119;5;4;0;2;1;Suadiye Mahallesi
285;4190000;95;0;1;0;2;1;Caddebostan Mahallesi
286;4250000;140;3;9;0;3;1;Erenköy Mahallesi
287;4950000;135;3;10;0;3;1;Göztepe Mahallesi
288;4650000;115;6;8;0;3;1;Göztepe Mahallesi
289;5450000;175;3;13;0;3;1;Erenköy Mahallesi
290;2800000;150;26;1;0;3;1;Merdivenköy Mahallesi
291;3500000;135;35;2;0;3;1;Suadiye Mahallesi
292;2995000;90;4;0;0;2;1;Göztepe Mahallesi
293;3900000;130;3;3;0;3;1;Suadiye Mahallesi
294;4900000;240;4;10;0;4;2;Suadiye Mahallesi
295;3850000;130;5;7;0;3;1;Erenköy Mahallesi
296;22250000;320;8;3;0;3;2;Caddebostan Mahallesi
297;4495000;190;21;4;0;4;1;Erenköy Mahallesi
298;9700000;135;26;8;0;3;1;Fenerbahçe Mahallesi
299;2350000;135;35;1;0;3;1;Suadiye Mahallesi
300;3140000;140;2;1;0;3;1;Merdivenköy Mahallesi
301;3500000;115;0;7;0;2;1;Göztepe Mahallesi
302;5750000;240;17;2;0;4;1;Feneryolu Mahallesi
303;8595000;150;2;11;0;3;1;Bostancı Mahallesi
304;3900000;117;4;5;0;2;1;Kozyatağı Mahallesi
305;3950000;120;5;0;0;3;1;Fenerbahçe Mahallesi
306;3495000;105;8;4;0;2;1;Suadiye Mahallesi
